Visão,Modelo,Acurácia,F1-Score,F1-Macro,Volume
V1: Sintético → Sintético,Naive Bayes,0.8417,0.8409,0.8409,200/classe (600 total)
V1: Sintético → Sintético,Regressão Logística,0.8,0.7978,0.7978,200/classe (600 total)
V1: Sintético → Sintético,SVM Linear,0.8083,0.8081,0.8081,200/classe (600 total)
V2: Real → Real,Naive Bayes,0.4417,0.432,0.432,200/classe (600 total)
V2: Real → Real,Regressão Logística,0.4333,0.4123,0.4123,200/classe (600 total)
V2: Real → Real,SVM Linear,0.45,0.4241,0.4241,200/classe (600 total)
V3: Sintético → Real,Naive Bayes,0.4,0.3838,0.3838,200/classe (600 total)
V3: Sintético → Real,Regressão Logística,0.35,0.3459,0.3459,200/classe (600 total)
V3: Sintético → Real,SVM Linear,0.3583,0.3543,0.3543,200/classe (600 total)
V4: Real → Real (desbalanceado),Naive Bayes,0.7271,0.6436,0.3848,200/classe (600 total)
V4: Real → Real (desbalanceado),Regressão Logística,0.7472,0.7093,0.5205,200/classe (600 total)
V4: Real → Real (desbalanceado),SVM Linear,0.744,0.7059,0.5192,200/classe (600 total)
V5: Sintético → Real (desbalanceado),Naive Bayes,0.4493,0.4962,0.3365,200/classe (600 total)
V5: Sintético → Real (desbalanceado),Regressão Logística,0.4201,0.4728,0.3342,200/classe (600 total)
V5: Sintético → Real (desbalanceado),SVM Linear,0.4209,0.4735,0.3388,200/classe (600 total)
V1: Sintético → Sintético,Naive Bayes,0.8806,0.8807,0.8807,600/classe (1800 total — sintético inteiro)
V1: Sintético → Sintético,Regressão Logística,0.8694,0.8693,0.8693,600/classe (1800 total — sintético inteiro)
V1: Sintético → Sintético,SVM Linear,0.8833,0.8833,0.8833,600/classe (1800 total — sintético inteiro)
V2: Real → Real,Naive Bayes,0.5167,0.521,0.521,600/classe (1800 total — sintético inteiro)
V2: Real → Real,Regressão Logística,0.5444,0.5445,0.5445,600/classe (1800 total — sintético inteiro)
V2: Real → Real,SVM Linear,0.55,0.548,0.548,600/classe (1800 total — sintético inteiro)
V3: Sintético → Real,Naive Bayes,0.3889,0.3475,0.3475,600/classe (1800 total — sintético inteiro)
V3: Sintético → Real,Regressão Logística,0.4,0.3877,0.3877,600/classe (1800 total — sintético inteiro)
V3: Sintético → Real,SVM Linear,0.3806,0.3645,0.3645,600/classe (1800 total — sintético inteiro)
V4: Real → Real (desbalanceado),Naive Bayes,0.7271,0.6436,0.3848,600/classe (1800 total — sintético inteiro)
V4: Real → Real (desbalanceado),Regressão Logística,0.7472,0.7093,0.5205,600/classe (1800 total — sintético inteiro)
V4: Real → Real (desbalanceado),SVM Linear,0.744,0.7059,0.5192,600/classe (1800 total — sintético inteiro)
V5: Sintético → Real (desbalanceado),Naive Bayes,0.4242,0.4711,0.3229,600/classe (1800 total — sintético inteiro)
V5: Sintético → Real (desbalanceado),Regressão Logística,0.3999,0.453,0.3261,600/classe (1800 total — sintético inteiro)
V5: Sintético → Real (desbalanceado),SVM Linear,0.4019,0.4547,0.325,600/classe (1800 total — sintético inteiro)
