Nicho,Visão,Modelo,Acurácia,Precisão,Recall,F1-Score,F1-Macro,Tempo (s)
Movies,V1: Sintético → Sintético,Naive Bayes,0.8806,0.8811,0.8806,0.8807,0.8807,
Movies,V1: Sintético → Sintético,Regressão Logística,0.8694,0.8701,0.8694,0.8693,0.8693,
Movies,V1: Sintético → Sintético,SVM Linear,0.8833,0.8836,0.8833,0.8833,0.8833,
Movies,V1: Sintético → Sintético,LSTM,0.8139,0.8216,0.8139,0.814,0.814,4.1
Movies,V1: Sintético → Sintético,BERT (Bertimbau),0.975,0.9753,0.975,0.9749,0.9749,134.2
Movies,V2: Real → Real,Naive Bayes,0.5167,0.5358,0.5167,0.521,0.521,
Movies,V2: Real → Real,Regressão Logística,0.5444,0.5448,0.5444,0.5445,0.5445,
Movies,V2: Real → Real,SVM Linear,0.55,0.5466,0.55,0.548,0.548,
Movies,V2: Real → Real,LSTM,0.4028,0.4068,0.4028,0.3923,0.3923,3.6
Movies,V2: Real → Real,BERT (Bertimbau),0.6028,0.6068,0.6028,0.6042,0.6042,141.7
Movies,V3: Sintético → Real,Naive Bayes,0.3889,0.3357,0.3889,0.3475,0.3475,
Movies,V3: Sintético → Real,Regressão Logística,0.4,0.3822,0.4,0.3877,0.3877,
Movies,V3: Sintético → Real,SVM Linear,0.3806,0.3581,0.3806,0.3645,0.3645,
Movies,V3: Sintético → Real,LSTM,0.3611,0.3815,0.3611,0.3483,0.3483,2.6
Movies,V3: Sintético → Real,BERT (Bertimbau),0.5,0.466,0.5,0.471,0.471,87.9
Movies,V4: Real → Real (desbalanceado),Naive Bayes,0.7271,0.6877,0.7271,0.6436,0.3848,
Movies,V4: Real → Real (desbalanceado),Regressão Logística,0.7472,0.7099,0.7472,0.7093,0.5205,
Movies,V4: Real → Real (desbalanceado),SVM Linear,0.744,0.7049,0.744,0.7059,0.5192,
Movies,V4: Real → Real (desbalanceado),LSTM,0.7348,0.7137,0.7348,0.7199,0.5489,135.1
Movies,V4: Real → Real (desbalanceado),BERT (Bertimbau),0.7788,0.7586,0.7788,0.7646,0.6229,2146.5
Movies,V5: Sintético → Real (desbalanceado),Naive Bayes,0.4242,0.6127,0.4242,0.4711,0.3229,
Movies,V5: Sintético → Real (desbalanceado),Regressão Logística,0.3999,0.6034,0.3999,0.453,0.3261,
Movies,V5: Sintético → Real (desbalanceado),SVM Linear,0.4019,0.6065,0.4019,0.4547,0.325,
Movies,V5: Sintético → Real (desbalanceado),LSTM,0.3739,0.5876,0.3739,0.4213,0.2713,3.0
Movies,V5: Sintético → Real (desbalanceado),BERT (Bertimbau),0.5716,0.6322,0.5716,0.5895,0.4262,352.0
Apps,V1: Sintético → Sintético,Naive Bayes,0.8889,0.888,0.8889,0.8882,0.8882,
Apps,V1: Sintético → Sintético,Regressão Logística,0.8972,0.8968,0.8972,0.8969,0.8969,
Apps,V1: Sintético → Sintético,SVM Linear,0.9111,0.9105,0.9111,0.9107,0.9107,
Apps,V1: Sintético → Sintético,LSTM,0.8528,0.8524,0.8528,0.8522,0.8522,2.5
Apps,V1: Sintético → Sintético,BERT (Bertimbau),0.9722,0.9722,0.9722,0.9722,0.9722,56.0
Apps,V2: Real → Real,Naive Bayes,0.6222,0.6377,0.6222,0.625,0.625,
Apps,V2: Real → Real,Regressão Logística,0.6083,0.6227,0.6083,0.6118,0.6118,
Apps,V2: Real → Real,SVM Linear,0.5806,0.5864,0.5806,0.5816,0.5816,
Apps,V2: Real → Real,LSTM,0.5611,0.5706,0.5611,0.5601,0.5601,1.9
Apps,V2: Real → Real,BERT (Bertimbau),0.6694,0.6676,0.6694,0.6684,0.6684,205.0
Apps,V3: Sintético → Real,Naive Bayes,0.4889,0.4234,0.4889,0.4042,0.4042,
Apps,V3: Sintético → Real,Regressão Logística,0.4833,0.4569,0.4833,0.4024,0.4024,
Apps,V3: Sintético → Real,SVM Linear,0.5028,0.4944,0.5028,0.4217,0.4217,
Apps,V3: Sintético → Real,LSTM,0.4028,0.2837,0.4028,0.3166,0.3166,1.3
Apps,V3: Sintético → Real,BERT (Bertimbau),0.5889,0.5297,0.5889,0.4821,0.4821,176.4
Apps,V4: Real → Real (desbalanceado),Naive Bayes,0.8399,0.813,0.8399,0.8097,0.5483,
Apps,V4: Real → Real (desbalanceado),Regressão Logística,0.8509,0.824,0.8509,0.8258,0.5844,
Apps,V4: Real → Real (desbalanceado),SVM Linear,0.8459,0.8151,0.8459,0.8203,0.5735,
Apps,V4: Real → Real (desbalanceado),LSTM,0.8464,0.8325,0.8464,0.8386,0.6311,90.1
Apps,V4: Real → Real (desbalanceado),BERT (Bertimbau),0.8717,0.8565,0.8717,0.8627,0.6659,1433.8
Apps,V5: Sintético → Real (desbalanceado),Naive Bayes,0.6571,0.7279,0.6571,0.668,0.4502,
Apps,V5: Sintético → Real (desbalanceado),Regressão Logística,0.6306,0.7099,0.6306,0.6439,0.4304,
Apps,V5: Sintético → Real (desbalanceado),SVM Linear,0.627,0.716,0.627,0.6433,0.4335,
Apps,V5: Sintético → Real (desbalanceado),LSTM,0.5977,0.5962,0.5977,0.5955,0.3623,2.5
Apps,V5: Sintético → Real (desbalanceado),BERT (Bertimbau),0.8248,0.8113,0.8248,0.8095,0.5568,151.5
